end station id,station_name,station_latitude,station_longitude,sitetype
3544,Underhill Ave & Pacific St,40.6804836,-73.9646795,Station
3404,7 St & 5 Ave,40.6704922,-73.98541675,Station
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,Station
3486,Schermerhorn St & Bond St,40.68841743,-73.98451656,Station
3232,Bond St & Fulton St,40.68962189,-73.98304269,Station
396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,Station
3576,Park Pl & Vanderbilt Ave,40.6767,-73.969024,Station
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,Station
144,Nassau St & Navy St,40.69839895,-73.98068914,Station
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,Station
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,Station
3044,Albany Ave & Fulton St,40.6800105,-73.938475,Station
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,Station
3373,3 St & 3 Ave,40.6750705,-73.98775226,Station
3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,Station
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,Station
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,Station
3405,5 St & 6 Ave,40.6704836,-73.98208968,Station
282,Kent Ave & S 11 St,40.70764494,-73.96841526,Station
3384,Smith St & 3 St,40.6787242,-73.99599099,Station
3582,Lincoln Pl & Classon Ave,40.6721683,-73.9609,Station
3571,Bedford Ave & Bergen St,40.676368,-73.952918,Station
3368,5 Ave & 3 St,40.6728155,-73.98352355,Station
3401,2 Ave & 9 St,40.6724811,-73.99331394,Station
3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,Station
3420,Douglass St & 3 Ave,40.6802133,-73.98432695,Station
3562,Classon Ave & St Marks Ave,40.6765198,-73.9596082,Station
3546,Pacific St & Classon Ave,40.6791944,-73.9587903,Station
3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,Station
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,Station
3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611,Station
3361,Carroll St & 6 Ave,40.6740886,-73.9787282,Station
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,Station
289,Monroe St & Classon Ave,40.6845683,-73.95881081,Station
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,Station
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,Station
3421,Hoyt St & Warren St,40.6843549,-73.98901629,Station
372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,Station
261,Johnson St & Gold St,40.69474881,-73.98362464,Station
3478,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708867,-74.00870204,Station
3249,Verona Pl & Fulton St,40.68035608,-73.9476791,Station
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,Station
217,Old Fulton St,40.70277159,-73.99383605,Station
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,Station
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,Station
3382,Carroll St & Smith St,40.680611,-73.99475825,Station
3423,West Drive & Prospect Park West,40.66106337,-73.97945255,Station
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,Station
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,Station
239,Willoughby St & Fleet St,40.69196566,-73.9813018,Station
3319,14 St & 5 Ave,40.666287,-73.98895053,Station
243,Fulton St & Rockwell Pl,40.688226,-73.979382,Station
3352,Sigourney St & Columbia St,40.67267243,-74.00879525,Station
3601,Sterling St & Bedford Ave,40.6627059,-73.9569115,Station
3354,3 St & Prospect Park West,40.668132,-73.97363831,Station
3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,Station
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,Station
119,Park Ave & St Edwards St,40.69608941,-73.97803415,Station
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,Station
3377,Carroll St & Bond St,40.6786115,-73.99037292,Station
430,York St & Jay St,40.7014851,-73.98656928,Station
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,Station
313,Washington Ave & Park Ave,40.69610226,-73.96751037,Station
3303,Butler St & Court St,40.6849894,-73.99440329,Station
3569,Franklin Ave & St Marks Ave,40.6758324,-73.9561677,Station
3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,Station
3402,Court St & State St,40.6902375,-73.99203074,Station
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,Station
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,Station
3574,Prospect Pl & Underhill Ave,40.6769694,-73.96579,Station
3315,Henry St & Degraw St,40.6847514,-73.99917254,Station
3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,Station
3661,Montgomery St & Franklin Ave,40.66643931,-73.96055639,Station
3304,6 Ave & 9 St,40.668127,-73.98377641,Station
3453,Devoe St & Lorimer St,40.71335226,-73.94910336,Station
3335,Union St & 4 Ave,40.6772744,-73.98282002,Station
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,Station
3584,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,Station
3085,Roebling St & N 4 St,40.71469,-73.95739,Station
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,Station
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,Station
467,Dean St & 4 Ave,40.68312489,-73.97895137,Station
3663,Sterling Pl & 7 Ave,40.67716489,-73.97382796,Station
3410,Dean St & Hoyt St,40.6864442,-73.98759104,Station
406,Hicks St & Montague St,40.69512845,-73.99595065,Station
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,Station
418,Front St & Gold St,40.70224,-73.982578,Station
3322,12 St & 4 Ave,40.668603,-73.9904394,Station
3241,Monroe St & Tompkins Ave,40.686203,-73.944694,Station
3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,Station
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,Station
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,Station
